鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
中山區,房地(土地+建物)+車位,建國北路一段124巷1~30號,29.12,都市：其他:第三種住宅區。,,,1090923,土地1建物1車位1,五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850727,195.0,3,2,2,有,有,13000000,66667,坡道平面,40.82,0,親友、員工、共有人或其他特殊關係間之交易;,RPSNMLMKIIPFFCA77EA,94.67,0.0,15.39,有
萬華區,房地(土地+建物),民和街81巷1~30號,12.28,都市：其他:第三種住宅區。,,,1090824,土地1建物1車位0,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071105,78.93,2,2,1,有,有,14600000,184974,,0.0,0,,RPQOMLSJIIPFFBA08EA,45.38,4.2,3.64,有
大安區,房地(土地+建物),復興南路二段171巷1~30號,25.33,都市：其他:第三種住宅區。,,,1090817,土地1建物1車位0,十層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0740522,128.87,3,2,2,有,有,28200000,218825,,0.0,0,,RPRNMLRJIIPFFFA28DA,96.8,1.8,9.07,有
大安區,房地(土地+建物)+車位,復興南路二段31~60號,5.07,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1060511,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1090803,78.53999999999999,1,1,1,有,有,22280000,283677,升降機械,0.0,2400000,,RPXQMLTLRHPFFFA77DA,31.34,1.31,3.38,有
大安區,房地(土地+建物),復興南路二段31~60號,6.02,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1060821,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1090803,71.62,1,1,1,有,有,22480000,313879,,0.0,0,,RPPRMLTLRHPFFFA07DA,37.89,3.21,3.39,有
大安區,房地(土地+建物),復興南路二段31~60號,3.25,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1060314,土地1建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1090803,37.489999999999995,1,1,1,有,有,12450000,332089,,0.0,0,,RPQRMLTLRHPFFFA17DA,19.09,0.36,3.29,有
大安區,房地(土地+建物),復興南路二段31~60號,3.25,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1060826,土地1建物1車位0,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1090803,37.39,1,1,1,有,有,12880000,344477,,0.0,0,,RPRRMLTLRHPFFFA27DA,50.38,1.74,6.67,有
大安區,房地(土地+建物),復興南路二段31~60號,5.04,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1060826,土地1建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1090803,58.870000000000005,1,1,1,有,有,19560000,332258,,0.0,0,,SPRRMLTLRHPFFFA37DA,31.34,1.31,3.38,有
大安區,房地(土地+建物),復興南路二段31~60號,3.27,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1060610,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1090803,37.56,1,1,1,有,有,12300000,327476,,0.0,0,,RPTRMLTLRHPFFFA47DA,19.09,0.43,3.29,有
大安區,房地(土地+建物)+車位,復興南路二段31~60號,4.99,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1090703,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1090803,77.74000000000001,1,1,1,有,有,21950000,282351,升降機械,0.0,2400000,,RPRNMLKMRHPFFFA68DA,30.71,1.51,3.37,有
大安區,房地(土地+建物)+車位,復興南路二段31~60號,5.07,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1060206,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1090803,78.53999999999999,1,1,1,有,有,21530000,274128,升降機械,0.0,2400000,,RPOPMLTLRHPFFFA76DA,31.34,1.31,3.38,有
大安區,房地(土地+建物),復興南路二段31~60號,3.25,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1081118,土地1建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1090803,37.489999999999995,1,1,1,有,有,13180000,351560,,0.0,0,,RPPPMLTLRHPFFFA86DA,19.09,0.36,3.29,有
大安區,房地(土地+建物)+車位,復興南路二段31~60號,5.25,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1060821,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1090803,80.24000000000001,1,1,1,有,有,21650000,269816,升降機械,0.0,2400000,,RPQPMLTLRHPFFFA96DA,32.48,1.16,3.38,有
大安區,房地(土地+建物),復興南路二段31~60號,3.25,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1060311,土地1建物1車位0,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1090803,37.489999999999995,1,1,1,有,有,13180000,351560,,0.0,0,,RPVNMLTLRHPFFFA27DA,19.09,0.36,3.29,有
大安區,房地(土地+建物),復興南路二段31~60號,3.27,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1060219,土地1建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1090803,37.56,1,1,1,有,有,12380000,329606,,0.0,0,,RPWNMLTLRHPFFFA37DA,19.09,0.43,3.29,有
大安區,房地(土地+建物)+車位,復興南路二段31~60號,5.07,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1060214,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1090803,78.66999999999999,1,1,1,有,有,22220000,282446,升降機械,0.0,2400000,,RPXNMLTLRHPFFFA47DA,31.34,1.44,3.38,有
